amrs_concept_id,kenyaemr_concept_uuid
879,879AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
880,113224AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
881,118789AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
882,882AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
885,885AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
886,886AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
902,130644AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
903,117399AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
916,105281AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
920,72822AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
929,77675AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
947,118536AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
965,965AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
966,966AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
970,970AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
971,971AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
972,972AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
973,973AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
974,974AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
975,975AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
978,978AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
981,981AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
984,984AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
985,985AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
990,990AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
991,142630AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1015,1015AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1016,1016AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1017,1017AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1018,1018AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1030,1030AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1039,163648AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1040,1040AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1045,1405AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1048,1048AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1056,1056AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1063,1063AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1064,1064AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1065,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1066,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1067,1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1068,1068AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1072,1072AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1073,1073AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1074,1074AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
