amrs_concept_id,kenyaemr_concept_uuid,Category
1594,159492AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1629,7a58e4da-3544-457b-84eb-014f65a01d83,
1633,160533AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1639,1639AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1652,159786AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1658,1658AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1664,121764AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1669,5617AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1672,1527AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1724,423c034e-14ac-4243-ae75-80d1daddce55,
1724,1687AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1743,1743AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1762,162546AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1764,162545AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1779,1779AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1794,164349AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1832,160579AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1835,160288AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1836,1645AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1915,160632AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1965,160542AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2021,164500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2028,163752AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2031,159935AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2049,159938AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2050,159937AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2056,5632AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2061,160596AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2090,1691AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2091,159912AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2092,113116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2093,132387AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2115,137375AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2127,154119AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2139,143110AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2143,131357AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2149,116023AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2152,163712AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2153,153701AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2155,160741AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2161,159909AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2185,150915AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2210,159344AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2212,134722AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2215,148849AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2216,133440AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2217,136458AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2218,155941AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2224,5042AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2231,159851AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2240,162050AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2296,122496AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2312,161557AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2345,160523AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2376,147241AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2389,164848AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5008,5008AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5009,5009AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5012,5012AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5018,5018AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5024,135458AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5027,5027AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5033,5033AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5046,5046AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5085,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5086,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5087,5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5088,5088AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5089,5089AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5090,5090AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5092,5092AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5096,5096AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5096,163526AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5103,5103AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5105,5105AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5170,112721AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5176,130560AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5192,105191AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5209,5209AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5219,5219AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5240,5240AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5242,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5244,5244AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5245,5245AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5261,5261AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5272,5272AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5275,5275AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5277,5277AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5278,5278AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5279,5279AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5327,5006AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5328,130364AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5330,5330AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
