amrs_concept_id,kenyaemr_concept_uuid,kenyaemr_concep_id
6578,160578AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6578,160579AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6578,6096AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6578,162277AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6578,160666AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
12258,c67be9a5-f497-4082-af81-11753f65ed4b,
12258,162277AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
12258,1142AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
12258,163488AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5356,5356AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5356,1204AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5356,1205AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5356,1206AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5356,1207AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5356,5356AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5356,1220AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5356,1221AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5356,1222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5356,1223AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,167394AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,5006AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,130364AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,159214AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,5330AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,117543AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,5012AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,5018AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,5027AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,5334AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,5337AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,42AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,5333AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,133440AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,148849AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,823AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,137375AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,1215AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,1294AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,990AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,143929AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,110915AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,160442AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,5042AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,143110AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,136458AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,5033AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,160745AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,154119AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,5046AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,131357AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,146513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,160851AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,155941AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,116023AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,123084AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,153701AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,825AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,1249AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,113116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,132387AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,148762AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,159344AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,1212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,159912AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,1210AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,127784AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,134722AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,163282AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,5337AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,160515AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,135458AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,163712AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,153701AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,162331AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,130021AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,146518AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,143744AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5219,5219AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1154,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1154,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
,160531AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5219,5219AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5219,151AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5219,141631AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5219,121543AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5219,119537AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5219,148035AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5219,840AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5219,131021AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
